          target           |                         source                          |      category       
 bruciore                  | burn                                                    | noun2m
 bruciore di stomaco       | heartburn                                               | phrase
 bruno                     | dark-haired                                             | adj1
 brutto                    | bad,ugly                                                | adj1
 bucato                    | laundry                                                 | nounsing
 buffo                     | funny                                                   | adj1
 buffone                   | buffoon                                                 | noun2m
 buio                      | darkness                                                | noun1
 buona giornata!           | have a good day!                                        | greet
 buonanotte                | good night                                              | greet
 buonasera                 | good evening                                            | greet
 buongiorno                | good day                                                | greet
 buono                     | good                                                    | adjspec
 burro                     | butter                                                  | noun1
 burro di noccioline       | peanut butter                                           | phrase
 busta                     | envelope                                                | noun1
 c'è                       | there is                                                | phrase
 cacca                     | crap                                                    | noun1
 caffettiera               | coffee maker                                            | noun1
 caffè                     | coffee                                                  | nouninvm
 calciatore                | male soccer player                                      | noun2m
 calciatrice               | female soccer player                                    | noun2f
 calcio                    | soccer,kick                                             | noun1
 caldo                     | warm                                                    | adj1
 calza                     | sock                                                    | noun1
 calzino                   | sock                                                    | noun1
 camera                    | c...- room                                              | noun1
 camera da letto           | bedroom                                                 | phrase
 cameriera                 | waitress                                                | noun1
 cameriere                 | waiter                                                  | noun2m
 camicetta                 | blouse                                                  | noun1
 camicia                   | dress shirt                                             | noun1
 camion                    | truck                                                   | nouninvm
 camionista                | truck driver                                            | noun3
 campagna                  | countryside                                             | noun1
 campanella                | school bell                                             | noun1
 campeggio                 | camping site                                            | noun1
 campo                     | field                                                   | noun1
 canadese                  | Canadiam                                                | adj2
 canale                    | channel,canal                                           | noun2m
 candidata                 | female candidate                                        | noun1
 candidato                 | male candidate                                          | noun1
 cane                      | dog                                                     | noun2m
 canottiera                | tank top                                                | noun1
 cantante                  | singer                                                  | noun2
 cantare                   | to sing                                                 | verb
 cantina                   | cellar                                                  | noun1
 canzone                   | song                                                    | noun2f
 caos                      | chaos                                                   | nouninvm
 capacità                  | ability                                                 | nouninvf
 caparra                   | deposit                                                 | noun1
 capelli                   | hair                                                    | noun1s2p
 capello                   | single hair                                             | noun1
 capo                      | boss, chief                                             | noun1
 capodanno                 | New Year's Eve                                          | noun1
 capolavoro                | masterpiece                                             | noun1
 capolinea                 | end of the bus line                                     | noun1
 capoluogo                 | regional capital city                                   | noun1
 cappello                  | hat                                                     | noun1
 cappotto                  | coat                                                    | noun1
 cappuccino                | cappuccino                                              | noun1
 capra                     | goat                                                    | noun1
 caraffa                   | caraffe, pitcher                                        | noun1
 carciofo                  | artichoke                                               | noun1
 carica batteria           | battery charger                                         | nouninvm
 carie                     | cavity                                                  | nouninvf
 carino                    | cute                                                    | adj1
 carne                     | meat                                                    | noun2f
 carne di maiale           | pork meat                                               | phrase
 carne di manzo            | beef meat                                               | phrase
 caro                      | dear, expensive                                         | adj1
 carota                    | carot                                                   | noun1
 carriera                  | career                                                  | noun1
 carta                     | paper                                                   | noun1
 carta d'imbarco           | boarding pass                                           | phrase
 carta di credito          | credit card                                             | phrase
 carta di debito           | debit card                                              | phrase
 carte                     | cards                                                   | nounplf
 cartella                  | folder                                                  | noun1
 cartina                   | map                                                     | noun1
 cartina                   | map (c...)                                              | noun1
 cartoleria                | stationery store                                        | noun1
 cartolina                 | post card                                               | noun1
 cartone animato           | cartoon                                                 | phrase
 casa                      | house,home                                              | noun1
 casalinga                 | housewife                                               | noun1
 casalingo                 | homemade                                                | adj1
 casalingo                 | househusband                                            | noun1
 cascata                   | cascade, waterfall                                      | noun1
 casino                    | chaos                                                   | noun1
 casolare                  | farmhouse                                               | noun2m
 cassetta delle lettere    | mailbox                                                 | noun1
 cassettiera               | dresser                                                 | noun1
 cassetto                  | drawer                                                  | noun1
 castano                   | hair-eyes brown                                         | adj1
 castello                  | castle                                                  | noun1
 catastrofe                | catastrophe                                             | noun2f
 cattivello                | sort of mean                                            | adj1
 cattivo                   | bad (food),mean (person)                                | adj1
 causare                   | to cause                                                | verb
 cavallo                   | horse                                                   | noun1
 cavia                     | guinea pig                                              | noun1
 ce l'abbiamo con voi      | we are upset with you all                               | phrase
 ce l'ho con te            | I am upset with you                                     | phrase
 celibe                    | single (for a man)                                      | adj2
 cellulare                 | cell phone                                              | noun2m
 cena                      | dinner                                                  | noun1
 cenere                    | ash                                                     | noun2f
 centesimo                 | cent,hundredth part                                     | noun1
 cento                     | one hundred                                             | number
 centro                    | centre                                                  | noun1
 centro commerciale        | shopping mall                                           | phrasal-noun
 centro storico            | historical city centre                                  | phrasal-noun
 cercare                   | to look for, to look up                                 | verb
 cercare di                | to try to (c...)                                        | phrasal-verb
 cereali                   | cereal (pl. in It.)                                     | nounplm
 certamente                | certainly                                               | adv
 certo                     | certain                                                 | adj1
 cervo                     | deer                                                    | noun1
 cespuglio                 | bush                                                    | noun1
 cestino                   | wastebasket                                             | noun1
 che                       | that, relative conjunction                              | relpron
 che                       | what (3 letters)                                        | interrpron
 che                       | which (relative pron.)                                  | relpron
 che c'è di nuovo?         | what's new?,what's up?                                  | phrase
 che casino!               | what a mess!                                            | phrase
 che cosa c'è?             | what's wrong?                                           | phrase
 che cosa significa?       | What does it mean? (3 words)                            | phrase
 che cosa stai dicendo?    | what are you talking about? (saying?)                   | phrase
 che cosa vuol dire?       | what does it mean?                                      | phrase
 che noia!                 | how boring!                                             | phrase
 che ora è?                | what time is it? (sing.)                                | phrase
 che ore sono?             | what time is it? (plur.)                                | phrase
 che strano!               | how strange!                                            | exclamation
 che tempo fa?             | what's the weather like?                                | phrase
 chi                       | who                                                     | interrpron
 chi parla?                | who's speaking?                                         | phrase
 chi è?                    | who is it?                                              | phrase
 chiacchierata             | chat (noun)                                             | noun1
 chiacchierona             | female chatterbox                                       | noun1
 chiacchierone             | male chatterbox                                         | noun2m
 chiaro                    | light color, clear                                      | adj1
 chiave                    | key                                                     | noun2f
 chiedersi                 | to wonder, to ask oneself                               | verb
 chiesa                    | church                                                  | noun1
 chilo                     | kilo                                                    | noun1
 chilometro                | kilometer                                               | noun1
 chimica                   | chemistry                                               | noun1
 chimico                   | chemical                                                | adj1
 chiosco                   | kiosk                                                   | noun1
 chirurgo                  | surgeon                                                 | noun1
 chitarra                  | guitar                                                  | noun1
 chitarrista               | guitarist                                               | noun3
 chiudere                  | to close                                                | verb
 chiudere a chiave         | to lock (3 word)                                        | phrasal-verb
 ci                        | there                                                   | partpron
 ci                        | there, before a verb                                    | pronoun
 ci serve                  | to us it is necessary                                   | phrase
