          target           |                  source                  |     category     
 focacceria                | focaccia store                           | noun1
 foglia                    | leaf                                     | noun1
 foglio                    | sheet                                    | noun1
 fondina                   | bowl                                     | noun1
 fondo                     | bottom                                   | noun1
 fontana                   | fountain                                 | noun1
 football americano        | football                                 | nounsingm
 forchetta                 | fork                                     | noun1
 foresta                   | fork                                     | noun1
 forma                     | shape,form                               | noun1
 formaggio                 | cheese                                   | noun1
 formazione                | formation                                | noun2
 formula                   | formula                                  | noun1
 fornello                  | burner                                   | noun1
 forno                     | oven                                     | noun1
 foruncolo                 | pimple                                   | noun1
 forza                     | strenght,force                           | noun1
 foschia                   | mist                                     | noun1
 foto                      | photo,picture                            | nouninvf
 fotografa                 | female photographer                      | noun1
 fotografia                | photo                                    | noun1
 fotografia                | photography,picture                      | noun1
 fotografo                 | male photographer                        | noun1
 fragola                   | strawberry                               | noun1
 francobollo               | stamp                                    | noun1
 frangia                   | hair - bang                              | noun1
 fratellastro              | step brother                             | noun1
 fratellino                | little brother                           | noun1
 fratello                  | brother                                  | noun1
 frattura                  | fracture                                 | noun1
 freccetta                 | dart                                     | noun1
 freccia                   | arrow                                    | noun1
 freno                     | brake                                    | noun1
 fretta                    | haste                                    | noun1
 frigo                     | fridge                                   | noun1
 frigorifero               | refrigerator                             | noun1
 frizione                  | friction                                 | noun2f
 fronte                    | front                                    | noun2f
 frutta                    | fruit - in general                       | nounsingf
 frutti di bosco           | berries (3 words)                        | nounplurm
 frutti di mare            | seafood                                  | nounplm
 frutti di mare            | seafood (fruits of the sea)              | nounplm
 fucile                    | rifle                                    | noun2m
 fulmine                   | lightning bolt                           | noun2m
 fungo                     | mushroom                                 | noun1
 funzionario               | civil servant                            | noun1
 fuoco                     | fire                                     | noun1
 futuro                    | future                                   | noun1
 gabbiano                  | seagull                                  | noun1
 gabinetto                 | toilet                                   | noun1
 galleria                  | tunnel , gallery                         | noun1
 gamba                     | leg                                      | noun1
 gamberetto                | shrimp                                   | noun1
 gambero                   | prawn                                    | noun1
 gambero                   | shrimp                                   | noun1
 garage                    | garage                                   | nouninvm
 gatto                     | cat                                      | noun1
 gelateria                 | ice cream parlor                         | noun1
 gemella                   | female twin                              | noun1
 gemello                   | male twin                                | noun1
 genere                    | kind,genre                               | noun2m
 genero                    | son in law                               | noun1
 genio                     | genius                                   | noun1
 genitore                  | male parent                              | noun2m
 genitore                  | parent                                   | noun2m
 genitrice                 | female parent                            | noun2f
 gennaio                   | January                                  | nounsingm
 gente                     | people                                   | noun2f
 geometria                 | geometry                                 | noun1
 gesto                     | gesture                                  | noun1
 gestore                   | manager                                  | noun2m
 giacca                    | jacket                                   | noun1
 giardiniera               | female gardener                          | noun1
 giardiniere               | male gardener                            | noun2m
 gigante                   | giant                                    | noun2m
 ginnastica                | gymnastics                               | noun1
 ginocchio                 | knee                                     | nounneutr
 giocatore                 | player (m.)                              | noun2m
 giocatrice                | player (f.)                              | noun2f
 gioielleria               | jewelry                                  | noun1
 giornale                  | journal, newspaper                       | noun2m
 giornalista               | journalist                               | noun3
 giornata                  | day (weather, activities)                | noun1
 giornataccia              | bad day                                  | noun1
 giorno                    | day                                      | noun1
 gioventù                  | youth                                    | nouninvf
 giro                      | tour                                     | noun1
 giro                      | turnaround , tour                        | noun1
 gita                      | hike, day trip                           | noun1
 giudice                   | judge                                    | noun2
 giurisprudenza            | law, jurisprudence                       | noun1
 giustizia                 | justice                                  | noun1
